pali,thai
(ภนฺเต กสฺสป),ข้าแต่ท่านกัสสปะ
(อิทํ สุตฺตํ),พระสูตรนี้
เม=มยา,อันกระผม
สุตํ=อุปธาริตํ,ได้สดับจดจำมา
(สมฺมุขา),ต่อหน้าพระพักตร์
(ภควโต),ของพระผู้มีพระภาค
เอวํ,ตามนัยที่พระผู้มีพระภาคทรงแสดงไว้นั่นเทียว.
เอกํ สมยํ=เอกสฺมึ,ในสมัยหนึ่ง
ภควา,พระผู้มีพระภาค
จรมาโน,เสด็จจาริกไป
องฺเคสุ,ในแคว้นอังคะ
ภิกฺขุสํเฆน สทฺธึ,พร้อมกับหมู่แห่งพระภิกษุ
มหตา,หมู่ใหญ่
ปญฺจมตฺเตหิ ภิกฺขุสเตหิ,คือภิกษุประมาณ ๕๐๐ รูป
จมฺปา,เมืองจัมปา
(อตฺถิ),มีอยู่
เยน=ยตฺถ (ทิสาภาเคน),ในส่วนแห่งทิศใด
อวสริ,เสด็จไปแล้ว
ตํ (ทิสาภาคํ),สู่ส่วนแห่งทิศนั้น.
ภควา,พระผู้มีพระภาค
วิหรติ,ย่อมประทับอยู่
ตีเร,ใกล้ริมฝั่ง
โปกฺขรณิยา,แห่งสระโบกขรณี
คคฺคราย,ชื่อว่าคัคครา
จมฺปายํ,ใกล้เมือง จัมปา
,นั้น.
สมเยน=ตสฺมึ สมเย,ในสมัยนั้น
พฺราหฺมโณ,พราหมณ์
โสณทณฺโฑ,ผู้มีนามว่าโสณทัณฑะ
อชฺฌาวสติ,ย่อมปกครอง
จมฺปํ,ซึ่งเมืองจัมปา
สตฺตุสฺสทํ,ซึ่งหนาแน่นไปด้วยประชากรและสัตว์เลี้ยงมากมาย
ํ=สติณ-กฏฺโฐทกาย,ที่บริบูรณ์
,ไปด้วยหญ้า ป่าไม้ และแหล่งน้ำ
=สธญฺญาย,ที่บริบูรณ์ไปด้วยธัญชาติ
ราชโภคฺคํ=ราชโภคฺคาย,อันเป็นทรัพย์สินที่ได้รับพระราชทานจากพระราชา
รญฺญา พิมฺพิสาเรน,อันพระเจ้าพิมพิสาร
,ผู้ทรงเป็นพระเจ้าแผ่นดินแห่งแคว้นมคธ
,ผู้ทรงเป็นจอมพลแห่งกองทัพใหญ่
ทินฺนํ,พระราชทานแล้ว
ราชทายํ=ราชทาย,อันเป็นมรดกพระราชา
พฺรหฺมเทยฺยํ=พฺรหฺมเทยฺยาย,อันเป็นดินแดนที่พระเจ้าแผ่นดินทรงพระราชทานเป็นของกำนัลชั้นเยี่ยม
,๓๐๑]
พฺราหฺมณคหปติกา,พราหมณ์และคหบดี ท.
จมฺเปยฺยกา,ชาวเมือง จัมปา
อสฺโสสุํ โข,ได้สดับข่าวแล้ว
อิติ,ว่า
ขลุ=กิร,ได้ทราบว่า
สมโณ โภ โคตโม,ท่านสมณโคดม
สกฺยปุตฺโต,ผู้เป็นโอรสของเจ้าศากยะ
(นิกฺขมิตฺวา),เสด็จออกแล้ว
สกฺยกุลา,จากตระกูลศากยะ
ปพฺพชิโต,ผนวชแล้ว
จาริกํ จรมาโน,เสด็จจาริกไป
องฺเคสุ,ในแคว้นอังคะ
ภิกฺขุสํเฆน สทฺธึ,พร้อมกับหมู่แห่งพระภิกษุ
มหตา,หมู่ใหญ่
ปญฺจมตฺเตหิ ภิกฺขุสเตหิ,ภิกษุประมาณ ๕๐๐ รูป
อนุปฺปตฺโต,เสด็จถึงแล้ว
จมฺปํ,ซึ่งเมืองจัมปา
วิหรติ,ประทับอยู่
ตีเร,ใกล้ริมฝั่ง
โปกฺขรณิยา,แห่งสระโบกขรณี
คคฺคราย,ชื่อว่าคัคครา
จมฺปายํ,ใกล้เมืองจัมปา.
ปน,อนึ่ง
,พระเกียรติคุณ
กลฺยาโณ,อันงาม
,ของท่านพระโคดมนั้น
,ได้ฟุ้งขจรครอบคลุมโลกทั้ง
,แล้ว
,โดยอาการอย่างนี้
,ว่า
,\lquote
,พระผู้มีพระภาคพระองค์นั้น
,ทรงได้พระนามว่า
,
,อรหัง
,[
,พระอรหันต์
อิติปิ=อิมินาจอิมินาจการเณน,ด้วยเหตุเหล่านี้ๆ
,[
,คือในฐานะเป็นผู้ไกลจากศัตรูคือกิเลส
,ผู้ทำลายซี่ล้อ
,เป็นผู้เหมาะแก่การเป็นรับจตุปัจจัย
,และทรงเป็นผู้ไม่มีที่ลับสำหรับการทำชั่ว
,ฯลฯ
,\par
,ทรงได้พระนามว่า
,
,สัมมาสัมพุทธะ
,[
,พระสัมมาสัมพุทธเจ้า
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้ตรัสรู้สรรพธรรมด้วยพระสยัมภุญาณโดยถูกต้องตามสภาพที่เป็นจริงด้วยพระองค์เอง
,ฯลฯ
,] \par
,ทรงได้พระนามว่า
,
,วิชชาจรณสัมปันนะ
,[
,ผู้ถึงพร้อมด้วยวิชชาและจรณะ
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงถึงพร้อมด้วยวิชชา
,และจรณะ
,]\par
สุคโต,ทรงได้พระนามว่า
,
,สุคต
,[
,ผู้เสด็จไปดีและผู้ตรัสดีแล้ว
,ด้วยเหตุเหล่านี้ๆ
,[
,คือ
,ในฐานะที่ทรงเป็นผู้เสด็จไปสู่พระนิพพานด้วยเครื่องไปคืออริยมรรคอันงาม
